Date,S&P500,Gold,US Gov Bond,USD/JPY
2019-01-02,2511,1281,114.6875,109.6679983
2019-01-03,2447.75,1291.800049,115.3046875,107.441
2019-01-04,2531.25,1282.699951,114.7578125,107.8080018
2019-01-07,2550.5,1286.800049,114.5859375,108.5219979
2019-01-08,2572.5,1283.199951,114.3359375,108.616
2019-01-09,2582.5,1289.300049,114.3828125,108.7760005
2019-01-10,2594,1284.699951,114.390625,108.1890079
2019-01-11,2595,1287.099976,114.53125,108.2979968
2019-01-14,2580.5,1289.099976,114.515625,108.4580032
2019-01-15,2605.5,1286.199951,114.53125,108.2500007
2019-01-16,2613.25,1291.599976,114.4375,108.6440026
2019-01-17,2635.25,1291,114.296875,109.0370077
2019-01-18,2671.5,1281.300049,114.0546875,109.1530053
2019-01-22,2632,1282.5,114.296875,109.6700033
2019-01-23,2638.25,1283.099976,114.1875,109.3550062
2019-01-24,2634,1279.099976,114.3984375,109.4919985
2019-01-25,2663.5,1297.400024,114.1875,109.5969958
2019-01-28,2642,1302.400024,114.234375,109.3999968
2019-01-29,2640.25,1308.199951,114.3828125,109.2539957
2019-01-30,2682.5,1309.900024,114.5859375,109.4169977
2019-01-31,2704.5,1319.699951,114.859375,108.9809982
2019-02-01,2704.25,1316.900024,114.53125,108.8440009
2019-02-04,2721.25,1314.300049,114.40625,109.4380081
2019-02-05,2731,1314.199951,114.5,109.961004
2019-02-06,2729.5,1309.5,114.515625,109.9409968
2019-02-07,2704,1309.400024,114.75,109.9740008
2019-02-08,2706.25,1313.699951,114.8125,109.7559973
2019-02-11,2708.25,1307,114.640625,109.8099988
2019-02-12,2744.75,1309.199951,114.578125,110.4000036
2019-02-13,2749.5,1310.800049,114.40625,110.5149965
2019-02-14,2743.5,1309.800049,114.65625,110.9229973
2019-02-15,2777,1318.099976,114.546875,110.5380011
2019-02-19,2778.75,1340.099976,114.6640625,110.5909981
2019-02-20,2787,1343.300049,114.6328125,110.5720021
2019-02-21,2774.25,1323.5,114.46875,110.7649981
2019-02-22,2791.25,1329.199951,114.6640625,110.7079988
2019-02-25,2797,1325.900024,114.578125,110.7720028
2019-02-26,2791.5,1325.099976,114.7421875,111.045996
2019-02-27,2795,1317.699951,114.546875,110.555995
2019-02-28,2784.75,1312.800049,114.46875,110.8620007
2019-03-01,2805,1296.400024,114.25,111.3569991
2019-03-04,2791.5,1284.800049,114.3828125,111.9380069
2019-03-05,2791.5,1282,114.375,111.7770002
2019-03-06,2771.5,1284.900024,114.515625,111.8659936
2019-03-07,2750,1283.800049,114.7890625,111.6230003
2019-03-08,2747,1297,114.84375,111.634002
2019-03-11,2784,1288.800049,114.765625,111.08
2019-03-12,2792,1296.300049,114.890625,111.3419993
2019-03-13,2814.5,1307.5,114.8984375,111.3060001
2019-03-14,2807.25,1293.400024,114.8203125,111.196
2019-03-15,2811.889893,1301.800049,114.9609375,111.7530002
2019-03-18,2840.5,1300.300049,114.8984375,111.5609998
2019-03-19,2836.5,1305,114.8515625,111.3729964
2019-03-20,2827,1300.5,115.2421875,111.4010057
2019-03-21,2862.5,1306.099976,115.2109375,110.6599987
2019-03-22,2810.75,1311.599976,115.6015625,110.8059993
2019-03-25,2807,1321.900024,115.8671875,110.0809971
2019-03-26,2823,1314.300049,115.890625,110.0679976
2019-03-27,2810.5,1309.900024,116.0625,110.554003
2019-03-28,2821,1289.800049,115.9296875,110.4900004
2019-03-29,2837.75,1293,115.765625,110.6370003
2019-04-01,2870.5,1288.400024,115.515625,111.4509928
2019-04-02,2867,1290,115.6171875,111.3049963
2019-04-03,2879.75,1289.900024,115.4765625,111.3949959
2019-04-04,2882.75,1289,115.484375,111.6579973
2019-04-08,2898.25,1297.099976,115.421875,111.4560021
2019-04-09,2882.5,1303.5,115.5234375,111.1049994
2019-04-10,2894.5,1309.099976,115.6328125,110.9850017
2019-04-11,2891.75,1288.599976,115.4609375,111.6210044
2019-04-15,2909.5,1286.800049,115.1953125,111.9430017
2019-04-16,2911.5,1272.599976,115.0234375,111.9929976
2019-04-17,2900.5,1272.199951,115.0703125,112.0360004
2019-04-18,2910,1271.900024,115.2109375,111.9890028
2019-04-22,2912.5,1273.5,115.125,111.9289987
2019-04-23,2938,1269.300049,115.2578125,111.8769966
2019-04-24,2930.75,1275.5,115.4765625,112.1299968
2019-04-25,2926.25,1275.800049,115.4140625,111.5390042
2019-04-29,2943,1278.599976,115.484375,111.6769966
2019-04-30,2948.5,1282.800049,115.640625,111.3949959
2019-05-01,2923,1281.400024,115.53125,111.4519993
2019-05-02,2917.5,1269.699951,115.265625,111.4950043
2019-05-06,2932.5,1281.699951,115.5234375,110.8050045
2019-05-07,2890.75,1283.5,115.71875,110.2570062
2019-05-08,2887.25,1279.400024,115.578125,110.0280028
2019-05-09,2872.75,1283.5,115.7265625,109.8070004
2019-05-13,2807,1300.099976,116.0390625,109.1540039
2019-05-14,2839.25,1294.699951,115.96875,109.6710002
2019-05-15,2855,1296.300049,116.1796875,109.4749966
2019-05-16,2878.5,1285,116.015625,109.8710009
2019-05-20,2844,1276.099976,115.921875,110.0699947
2019-05-21,2866,1272,115.8046875,110.0699947
2019-05-22,2857.5,1273.599976,115.984375,110.2210035
2019-05-23,2819.5,1284.800049,116.453125,109.5580021
2019-05-28,2805,1276.5,116.5078125,109.3459969
2019-05-29,2780,1280.599976,116.6640625,109.5419966
2019-05-30,2790.5,1287.099976,116.6953125,109.3569998
2019-06-03,2749.5,1322.699951,117.609375,108.0270004
2019-06-04,2805,1323.400024,117.4375,108.2539951
2019-06-05,2827.75,1328.300049,117.5390625,108.3279996
2019-06-06,2845.75,1337.599976,117.4140625,108.4540047
2019-06-10,2889.25,1324.699951,117.28125,108.3590032
